Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,P01,P02,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$69.77,$97.68,$104.66,Y,Y,Y,N,N,Price Limited Supports
01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Night - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$71.86,$100.60,$107.79,Y,Y,Y,N,N,Price Limited Supports
01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$52.73,$73.82,$79.09,Y,Y,Y,N,N,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20220701,99991231,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$262.16,$367.02,$393.24,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$62.17,$87.04,$93.26,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$64.04,$89.66,$96.06,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$138.20,$193.48,$207.30,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$142.35,$199.29,$213.53,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20220701,99991231,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$87.51,$122.51,$131.27,Y,Y,Y,N,N,Price Limited Supports
